source_code,status_code,n_pixels,age_from,age_to
105.0,3,88288,408.0,393.0
106.0,1,7,408.0,393.0
106.0,2,1702,408.0,393.0
106.0,3,144307,408.0,393.0
94.0,3,78245,420.0,408.0
98.0,2,1572,420.0,408.0
98.0,3,17374,420.0,408.0
99.0,1,127,420.0,408.0
99.0,2,832,420.0,408.0
99.0,3,1101359,420.0,408.0
105.0,3,93530,420.0,408.0
106.0,2,764,420.0,408.0
106.0,3,72583,420.0,408.0
94.0,3,72379,444.0,420.0
98.0,3,33556,444.0,420.0
99.0,1,59,444.0,420.0
99.0,2,181,444.0,420.0
99.0,3,1402622,444.0,420.0
105.0,2,1582,444.0,420.0
105.0,3,69236,444.0,420.0
106.0,3,33455,444.0,420.0
94.0,3,69733,463.0,444.0
98.0,3,7345,463.0,444.0
99.0,1,198,463.0,444.0
99.0,2,281,463.0,444.0
99.0,3,1078295,463.0,444.0
105.0,2,1569,463.0,444.0
105.0,3,49467,463.0,444.0
106.0,3,17026,463.0,444.0
94.0,3,52560,475.0,463.0
98.0,2,140,475.0,463.0
98.0,3,9855,475.0,463.0
99.0,1,45,475.0,463.0
99.0,2,201,475.0,463.0
99.0,3,1107108,475.0,463.0
105.0,2,1061,475.0,463.0
105.0,3,45906,475.0,463.0
106.0,2,225,475.0,463.0
106.0,3,20329,475.0,463.0
94.0,3,47208,489.0,475.0
98.0,2,622,489.0,475.0
98.0,3,6158,489.0,475.0
99.0,1,43,489.0,475.0
99.0,3,1152236,489.0,475.0
105.0,2,929,489.0,475.0
105.0,3,75228,489.0,475.0
106.0,3,26996,489.0,475.0
94.0,3,40569,500.0,489.0
98.0,3,6191,500.0,489.0
99.0,1,78,500.0,489.0
99.0,2,67,500.0,489.0
99.0,3,846514,500.0,489.0
105.0,1,1,500.0,489.0
105.0,2,1520,500.0,489.0
105.0,3,78652,500.0,489.0
106.0,1,1,500.0,489.0
106.0,2,1590,500.0,489.0
106.0,3,170162,500.0,489.0
94.0,3,40887,518.0,500.0
98.0,3,4657,518.0,500.0
99.0,1,35,518.0,500.0
99.0,2,66,518.0,500.0
99.0,3,1021857,518.0,500.0
105.0,2,1530,518.0,500.0
105.0,3,59369,518.0,500.0
106.0,2,145,518.0,500.0
106.0,3,143928,518.0,500.0
94.0,3,71927,535.0,518.0
98.0,3,13538,535.0,518.0
99.0,1,84,535.0,518.0
99.0,2,105,535.0,518.0
99.0,3,1324295,535.0,518.0
105.0,2,1462,535.0,518.0
105.0,3,52465,535.0,518.0
106.0,3,103641,535.0,518.0
94.0,1,3,545.0,535.0
94.0,3,104433,545.0,535.0
98.0,3,26776,545.0,535.0
99.0,1,29,545.0,535.0
99.0,3,979547,545.0,535.0
105.0,3,37186,545.0,535.0
106.0,2,1816,545.0,535.0
106.0,3,115072,545.0,535.0
